condition,Metric,Value
2,C1,1
1,C1,2
2,C1,2
1,C1,5
1,C1,2
1,C1,1
2,C1,2
2,C1,3
1,C1,2
3,C1,2
2,C1,1
1,C1,3
2,C1,4
3,C1,3
3,C1,2
3,C1,3
3,C1,2
2,C1,2
3,C1,1
2,C1,1
2,C1,2
1,C1,2
3,C1,2
2,C1,2
1,C1,1
3,C1,3
3,C1,2
3,C1,2
1,C1,2
1,C1,3
2,C2,1
1,C2,2
2,C2,2
1,C2,1
1,C2,2
1,C2,1
2,C2,1
2,C2,2
1,C2,2
3,C2,1
2,C2,1
1,C2,3
2,C2,3
3,C2,3
3,C2,2
3,C2,2
3,C2,2
2,C2,1
3,C2,1
2,C2,1
2,C2,2
1,C2,2
3,C2,1
2,C2,1
1,C2,1
3,C2,2
3,C2,1
3,C2,1
1,C2,1
1,C2,1
2,C3,4
1,C3,5
2,C3,4
1,C3,2
1,C3,4
1,C3,4
2,C3,5
2,C3,4
1,C3,4
3,C3,5
2,C3,5
1,C3,3
2,C3,3
3,C3,3
3,C3,5
3,C3,6
3,C3,4
2,C3,5
3,C3,4
2,C3,4
2,C3,2
1,C3,4
3,C3,3
2,C3,5
1,C3,5
3,C3,5
3,C3,5
3,C3,5
1,C3,3
1,C3,5
